mean_accuracy,embedding_dimensions,sd_val_acc,mean_auroc,embedding_regularization,mean_val_acc,batchSize,max_val_acc,epoch_where_max_val_acc_reached,epochs,date_logged,epoch_where_max_auc_reached,sd_auroc,number_layers,sentence_length,max_accuracy,time_taken_seconds,number_parameters
0.6345,2,0.0015,0.6883,0.001,0.6332,128,0.636,4,5,2019-06-18,4,0.0041,3,7.0,0.641,52,15215
0.6358,2,0.0055,0.6914,0.001,0.6359,128,0.6438,4,5,2019-06-18,4,0.0059,3,10.0,0.6459,65,15215
0.6326,2,0.0024,0.6882,0.001,0.6303,128,0.6328,3,5,2019-06-18,4,0.0036,3,17.0,0.6385,96,15215
0.6428,2,0.0089,0.6975,0.001,0.6388,128,0.6508,9,10,2019-06-18,9,0.0102,3,7.0,0.6563,97,15215
0.644,2,0.0074,0.7001,0.001,0.6423,128,0.6521,9,10,2019-06-18,9,0.0094,3,10.0,0.6542,124,15215
0.6406,2,0.0071,0.6965,0.001,0.6379,128,0.6478,9,10,2019-06-18,9,0.0075,3,17.0,0.6496,186,15215
0.656,2,0.0047,0.7132,0.001,0.6513,128,0.6554,77,100,2019-06-18,99,0.0063,3,7.0,0.659,970,15215
0.6565,2,0.0056,0.7148,0.001,0.6519,128,0.6576,89,100,2019-06-18,94,0.0062,3,10.0,0.6597,1241,15215
0.656,2,0.006,0.7144,0.001,0.6512,128,0.6562,83,100,2019-06-18,81,0.0063,3,17.0,0.6607,1863,15215
0.6591,2,0.0072,0.7178,0.001,0.6538,128,0.6583,277,500,2019-06-18,424,0.0031,3,10.0,0.6614,5985,15215
0.6576,2,0.0063,0.7163,0.001,0.6522,128,0.6575,378,500,2019-06-18,250,0.0041,3,17.0,0.6603,9114,15215
0.6277,2,0.0007,0.679,0.01,0.6275,128,0.628,0,5,2019-06-19,3,0.001,3,7.0,0.6293,48,15215
0.6259,2,0.0033,0.6794,0.01,0.6239,128,0.628,3,5,2019-06-19,4,0.0023,3,10.0,0.629,62,15215
0.6274,2,0.0034,0.6801,0.01,0.6253,128,0.6283,0,5,2019-06-19,3,0.0007,3,17.0,0.6293,93,15215
0.629,2,0.0029,0.6806,0.01,0.6267,128,0.6297,9,10,2019-06-19,9,0.0017,3,7.0,0.631,97,15215
0.6283,2,0.0048,0.6811,0.01,0.6249,128,0.6281,8,10,2019-06-19,9,0.001,3,10.0,0.6304,124,15215
0.6266,2,0.0021,0.6802,0.01,0.627,128,0.6281,8,10,2019-06-19,9,0.0025,3,17.0,0.6289,186,15215
0.6403,2,0.0088,0.6929,0.01,0.6355,128,0.6447,70,100,2019-06-19,85,0.0059,3,7.0,0.6452,964,15215
0.6391,2,0.0075,0.6931,0.01,0.635,128,0.6443,77,100,2019-06-19,94,0.0072,3,10.0,0.6456,1230,15215
0.6402,2,0.0062,0.694,0.01,0.6365,128,0.6462,79,100,2019-06-19,78,0.007,3,17.0,0.6471,1855,15215
0.6433,2,0.0079,0.6967,0.01,0.6382,128,0.645,248,500,2019-06-19,331,0.0033,3,7.0,0.6461,4843,15215
0.6433,2,0.0146,0.6974,0.01,0.6381,128,0.6464,216,500,2019-06-19,143,0.0038,3,10.0,0.6469,6203,15215
0.6418,2,0.0125,0.6958,0.01,0.6361,128,0.6451,349,500,2019-06-19,149,0.0058,3,17.0,0.6464,8891,15215
0.6337,10,0.0044,0.6873,0.001,0.6335,128,0.6389,3,5,2019-06-19,4,0.0059,3,7.0,0.6426,49,59047
0.6297,10,0.0039,0.6848,0.001,0.6292,128,0.6351,4,5,2019-06-19,4,0.0031,3,10.0,0.6362,62,59047
0.6311,10,0.0037,0.6859,0.001,0.6306,128,0.6378,4,5,2019-06-19,4,0.0036,3,17.0,0.637,93,59047
0.6385,10,0.008,0.692,0.001,0.636,128,0.6495,9,10,2019-06-19,9,0.0099,3,7.0,0.653,98,59047
0.6407,10,0.0109,0.696,0.001,0.6378,128,0.6518,9,10,2019-06-19,9,0.0126,3,10.0,0.6558,124,59047
0.6428,10,0.0106,0.6987,0.001,0.6397,128,0.653,9,10,2019-06-19,9,0.0129,3,17.0,0.6567,186,59047
0.6562,10,0.0061,0.7133,0.001,0.6514,128,0.6575,84,100,2019-06-19,76,0.0074,3,7.0,0.6606,976,59047
0.6564,10,0.0056,0.7146,0.001,0.6518,128,0.6576,37,100,2019-06-19,90,0.0072,3,10.0,0.6601,1238,59047
0.6567,10,0.0055,0.7149,0.001,0.6522,128,0.6577,92,100,2019-06-20,89,0.0071,3,17.0,0.6603,1857,59047
0.659,10,0.0032,0.7167,0.001,0.654,128,0.6583,124,500,2019-06-20,477,0.0038,3,7.0,0.6614,4942,59047
0.6589,10,0.0046,0.7176,0.001,0.6542,128,0.6581,108,500,2019-06-20,194,0.0028,3,10.0,0.6613,6289,59047
